Name,Job Title,Skills,Experience (Years),Education,Certification,Location
Tiffany Rodriguez,AI Engineer,"NLP, Python, TensorFlow, Deep Learning",1,Bachelor's,Microsoft Azure,Espinozahaven
Sandra Anderson,ML Engineer,"Keras, NLP, Python, PyTorch",11,PhD,None,Lake Laurenville
Wendy Wright,ML Engineer,"Python, NLP, PyTorch, TensorFlow, Keras",14,Bachelor's,None,West Amyburgh
Shannon Moore,Data Scientist,"Pandas, R, TensorFlow, Python, Deep Learning",11,PhD,AWS Certified,Douglasside
Michael Cabrera,AI Engineer,"Machine Learning, Python, TensorFlow",10,PhD,Google Data Engineer,Terriborough
Steven Gregory,Data Engineer,"SQL, AWS, Hadoop",15,PhD,Google Data Engineer,Port Cliffordmouth
Jack Mathews,AI Engineer,"TensorFlow, Machine Learning, NLP, Deep Learning, AI Systems, Python",8,PhD,Google Data Engineer,Stewartmouth
Nicole Thomas,Data Engineer,"AWS, Kafka, ETL, SQL, Spark",5,Bachelor's,AWS Certified,Jessicaburgh
Lauren Alvarez,ML Engineer,"Keras, Python, NLP, PyTorch",15,PhD,Microsoft Azure,East Markburgh
Jasmine Crane,Data Scientist,"Pandas, R, Machine Learning, TensorFlow",13,Bachelor's,Microsoft Azure,Suttonfort
Sean Woodward,Data Analyst,"Python, Excel, SQL",15,Bachelor's,Google Data Engineer,Davidview
Brianna Vega,Data Analyst,"Power BI, SQL, Tableau, Python, Excel, Data Visualization",11,Bachelor's,Microsoft Azure,Joseborough
Aaron Jackson,Data Scientist,"TensorFlow, R, Python, Pandas",1,PhD,None,Port Thomas
Christopher Rowe,Data Engineer,"Python, Hadoop, Kafka, ETL, AWS",6,PhD,Google Data Engineer,North Leslieside
Deborah Nash,ML Engineer,"PyTorch, TensorFlow, Python, NLP, Keras",7,Master's,None,Ashleychester
Kaitlin Allison,Data Analyst,"SQL, Power BI, Tableau, Data Visualization, Python",2,PhD,AWS Certified,East Jenniferton
Tasha Brown,AI Engineer,"NLP, Python, Deep Learning",15,Master's,Google Data Engineer,West Debraton
James Lewis,Data Engineer,"ETL, Python, AWS, Hadoop, Kafka, SQL",13,Master's,Google Data Engineer,East Austinfort
Antonio Lopez,Data Scientist,"Pandas, R, Python, Deep Learning",10,PhD,Google Data Engineer,South Lindseymouth
Jessica Guerra,ML Engineer,"TensorFlow, Python, Scikit-learn, NLP",12,Bachelor's,Google Data Engineer,Baldwintown
Jessica Wood,Data Engineer,"Kafka, ETL, Python, Hadoop",15,Bachelor's,Microsoft Azure,Tylerberg
Marcus Stone,AI Engineer,"Deep Learning, AI Systems, TensorFlow, Machine Learning",10,Master's,Microsoft Azure,Lake Benjamin
Amanda Snyder,ML Engineer,"Scikit-learn, TensorFlow, Python, PyTorch",11,Bachelor's,Google Data Engineer,Jasminechester
Ray Burke,ML Engineer,"Python, NLP, Keras",4,PhD,None,Melissahaven
Lisa Nelson,ML Engineer,"Keras, PyTorch, Python",5,Master's,Google Data Engineer,North Kevin
Karen Hernandez,AI Engineer,"NLP, Python, Machine Learning",9,Bachelor's,None,North Donna
Daniel Vasquez,Data Scientist,"R, TensorFlow, Pandas",12,PhD,Google Data Engineer,Martinezstad
Karen Davis,Data Engineer,"Kafka, Python, SQL, Hadoop, AWS, Spark",4,Bachelor's,Microsoft Azure,Port Brandi
Christina Holder,AI Engineer,"AI Systems, TensorFlow, Python",9,PhD,Google Data Engineer,New Rhondaton
Heather Arellano,Data Scientist,"R, Deep Learning, TensorFlow, Python, Pandas",9,Master's,None,Sarahmouth
Melanie Johnson,Data Engineer,"ETL, AWS, SQL, Kafka, Hadoop, Spark",11,Bachelor's,Microsoft Azure,North Carolyn
Kristen Sherman,ML Engineer,"NLP, PyTorch, Python",5,Bachelor's,None,Lake Erikamouth
Brenda Cohen,Data Engineer,"Hadoop, AWS, ETL, Kafka, Spark, Python",4,Master's,Google Data Engineer,South Jeffbury
Kevin Williams,Data Analyst,"Data Visualization, SQL, Power BI, Python, Tableau",7,PhD,None,Jacobton
Dr. Jessica Guzman,AI Engineer,"Python, AI Systems, TensorFlow, Machine Learning, NLP, Deep Learning",3,Master's,Google Data Engineer,Port Jesse
Kevin Rojas,AI Engineer,"AI Systems, Machine Learning, Deep Learning, Python, TensorFlow, NLP",4,PhD,Microsoft Azure,Deniseside
Jasmine Roberts,Data Engineer,"SQL, AWS, Hadoop",12,Bachelor's,None,Bradshawside
Destiny Willis,AI Engineer,"Deep Learning, Python, NLP, AI Systems, TensorFlow, Machine Learning",13,Bachelor's,Google Data Engineer,East Paul
Mario Willis,ML Engineer,"Scikit-learn, Keras, PyTorch, Python",14,Master's,Microsoft Azure,Jennifermouth
Madison Miller,AI Engineer,"AI Systems, Deep Learning, Machine Learning, NLP",6,Bachelor's,Microsoft Azure,South Joseph
Troy Jones,ML Engineer,"Scikit-learn, NLP, Python, TensorFlow, PyTorch",9,PhD,Microsoft Azure,East Peterfort
Mark Miller,ML Engineer,"Scikit-learn, Keras, NLP, TensorFlow, PyTorch",9,Master's,Google Data Engineer,Wendyville
Sylvia Kelley,AI Engineer,"Deep Learning, NLP, Machine Learning, TensorFlow, Python, AI Systems",10,Master's,AWS Certified,Martinezmouth
Katherine Campbell,Data Engineer,"AWS, Spark, SQL, Python, ETL",8,PhD,None,Port Javierview
Emily Robertson,ML Engineer,"Scikit-learn, Keras, Python, NLP",8,PhD,Microsoft Azure,Lake Philip
Carolyn Carr,Data Analyst,"Tableau, Excel, Python",14,PhD,None,West Anthonystad
Michelle Smith,Data Scientist,"Pandas, TensorFlow, R, Deep Learning, Python, Machine Learning",5,Bachelor's,AWS Certified,North Crystal
Rebecca Warren,Data Scientist,"Machine Learning, TensorFlow, Deep Learning, Pandas",9,PhD,Microsoft Azure,North George
Vickie Jones,Data Engineer,"SQL, Kafka, Spark, AWS",8,Bachelor's,AWS Certified,Websterchester
Susan Campbell,Data Scientist,"Python, TensorFlow, Deep Learning, Machine Learning, Pandas",1,Bachelor's,None,North Dalemouth
Corey Delacruz,Data Analyst,"SQL, Python, Power BI, Tableau, Data Visualization, Excel",10,PhD,Google Data Engineer,Collinsberg
Amanda Olsen,Data Engineer,"Python, Spark, SQL, Kafka",1,Bachelor's,Google Data Engineer,Bradfordburgh
Steven Martinez,Data Analyst,"SQL, Power BI, Excel, Tableau, Data Visualization, Python",3,Bachelor's,None,North Jeffreymouth
Edward Thomas,Data Scientist,"TensorFlow, Machine Learning, Pandas, R",10,PhD,AWS Certified,North Veronicaville
Mario Porter,AI Engineer,"TensorFlow, Machine Learning, NLP, Deep Learning",13,PhD,AWS Certified,Bethanyport
Rebecca Blevins,Data Scientist,"Python, Deep Learning, Pandas, TensorFlow, Machine Learning",13,Master's,None,East Nicholas
Diana Reed,Data Engineer,"Python, AWS, Kafka, Hadoop, ETL, SQL",2,PhD,Google Data Engineer,East Matthew
Gregory Price,ML Engineer,"Scikit-learn, Keras, Python",6,Bachelor's,None,Port Maria
Carlos Yang,Data Engineer,"Kafka, Python, SQL",12,Bachelor's,Microsoft Azure,Lake Kimberly
Jacob Vang,Data Analyst,"Excel, Power BI, Tableau, Python",12,Bachelor's,Google Data Engineer,South Nicolestad
Anthony Barrett,AI Engineer,"Deep Learning, NLP, Python, Machine Learning, AI Systems, TensorFlow",11,Master's,Google Data Engineer,Victoriamouth
Christopher Wood,Data Analyst,"Power BI, Data Visualization, Excel, Python, Tableau",2,Bachelor's,AWS Certified,Carrfort
Mark Jackson,AI Engineer,"TensorFlow, Python, AI Systems, NLP, Deep Learning",2,Master's,AWS Certified,Lake Ryanton
Tara Wright,Data Engineer,"AWS, Spark, Kafka, SQL, ETL, Hadoop",13,PhD,AWS Certified,Donaldbury
Nicole Nelson,Data Scientist,"Python, R, Deep Learning",7,PhD,AWS Certified,Rushmouth
Kristina Wade,ML Engineer,"Python, PyTorch, NLP, Scikit-learn, Keras, TensorFlow",15,Bachelor's,Google Data Engineer,South Angelaton
Richard Mcdonald,AI Engineer,"Machine Learning, AI Systems, NLP, Deep Learning, TensorFlow",15,Master's,AWS Certified,East Shannonchester
Kathleen Villegas,Data Engineer,"SQL, ETL, Hadoop, Spark, Kafka",14,PhD,None,Johnsonton
Keith Garrett,ML Engineer,"NLP, TensorFlow, Python, PyTorch",4,Master's,AWS Certified,South Teresabury
Gregory Ware,Data Analyst,"Data Visualization, SQL, Python",14,Bachelor's,AWS Certified,Davidport
Michelle Lopez,ML Engineer,"Python, NLP, Scikit-learn",9,PhD,Google Data Engineer,South John
Misty Dorsey,Data Engineer,"SQL, AWS, Hadoop",15,Bachelor's,AWS Certified,Michaelhaven
Laura Ramirez,ML Engineer,"Keras, Scikit-learn, NLP, Python, TensorFlow, PyTorch",2,Bachelor's,AWS Certified,New Jesseborough
Joseph Atkinson,Data Analyst,"Tableau, Excel, SQL, Data Visualization, Python",7,Master's,Google Data Engineer,Juliestad
Charles Conway,AI Engineer,"Deep Learning, TensorFlow, NLP, Python, Machine Learning",9,Master's,AWS Certified,Mcdonaldstad
James Lopez,AI Engineer,"Python, Deep Learning, AI Systems, NLP, TensorFlow",9,PhD,None,Sarahside
Adrienne Mayer,AI Engineer,"NLP, TensorFlow, Machine Learning, AI Systems",14,Master's,Microsoft Azure,Hayesstad
Pamela Johnson,ML Engineer,"NLP, Python, Keras, TensorFlow, Scikit-learn",1,Master's,Google Data Engineer,Wrightview
Daniel Lee,Data Engineer,"Hadoop, AWS, Spark",15,Bachelor's,None,North Josephchester
Jonathan Aguilar,AI Engineer,"NLP, Machine Learning, Python",2,Master's,AWS Certified,Shelleychester
Ian Russell,Data Scientist,"R, Deep Learning, TensorFlow, Python, Pandas, Machine Learning",5,Bachelor's,Microsoft Azure,East Jennifer
Susan Garcia,Data Scientist,"Python, TensorFlow, Machine Learning",6,PhD,Google Data Engineer,West Michaelside
Jeffrey Briggs,Data Engineer,"Spark, ETL, SQL, Hadoop, AWS, Python",13,Bachelor's,None,Davidfort
William Carter,Data Analyst,"SQL, Data Visualization, Python, Excel, Tableau",10,PhD,Microsoft Azure,North Brenda
Hayley Norris,ML Engineer,"TensorFlow, Keras, Scikit-learn",10,PhD,None,Harringtonshire
Janet Jackson,Data Scientist,"Deep Learning, R, Machine Learning, TensorFlow, Pandas",3,PhD,AWS Certified,East Scott
Melanie Jackson,ML Engineer,"Python, Keras, PyTorch, Scikit-learn",12,Master's,Microsoft Azure,Port Richard
Dalton Hays,Data Engineer,"Python, ETL, Hadoop, Kafka, AWS, Spark",12,Bachelor's,Microsoft Azure,South Chrisfurt
Richard Edwards,Data Analyst,"Tableau, Excel, Power BI, Python, SQL",2,Bachelor's,Microsoft Azure,Brandonborough
Raymond Mccoy,ML Engineer,"Scikit-learn, NLP, TensorFlow",9,PhD,Microsoft Azure,South Samantha
Sharon Fitzpatrick,AI Engineer,"Machine Learning, NLP, TensorFlow, Deep Learning",10,PhD,None,New Ashleymouth
Ruth Chavez,ML Engineer,"PyTorch, TensorFlow, Keras, NLP",8,PhD,AWS Certified,East Theresatown
Debra Peterson,Data Analyst,"Power BI, Python, Data Visualization, SQL",5,Bachelor's,None,Lake Todd
Terri Fowler,AI Engineer,"Machine Learning, Deep Learning, AI Systems, Python, NLP",3,PhD,None,Port Kennethburgh
Robin Sawyer,Data Engineer,"Python, ETL, SQL",7,Master's,AWS Certified,Port Annmouth
Jennifer Sanchez,ML Engineer,"Scikit-learn, TensorFlow, Python, Keras",9,Master's,Google Data Engineer,Emilyland
Betty Cole,Data Scientist,"Deep Learning, TensorFlow, R, Python, Pandas",14,Master's,AWS Certified,Lake Christinemouth
Steven Thompson,Data Scientist,"R, Deep Learning, Pandas, Python, Machine Learning, TensorFlow",14,Master's,Google Data Engineer,Jacobmouth
John Leach,Data Engineer,"ETL, SQL, Hadoop, Spark",14,Bachelor's,None,East Victoria
Ryan Montgomery,Data Scientist,"TensorFlow, Deep Learning, Machine Learning",2,Bachelor's,None,New Melinda
Jonathan Robbins,ML Engineer,"NLP, Python, Keras, PyTorch, TensorFlow, Scikit-learn",4,Master's,None,New Michaelburgh
Matthew Boyer,ML Engineer,"Keras, TensorFlow, Scikit-learn",3,Bachelor's,AWS Certified,West Emilyfort
Timothy Jones,AI Engineer,"NLP, AI Systems, Deep Learning, TensorFlow, Python, Machine Learning",12,Bachelor's,Google Data Engineer,North Brettmouth
Penny Yoder,AI Engineer,"AI Systems, Machine Learning, NLP, Python",8,Bachelor's,Microsoft Azure,Lake Thomas
Emily Franklin,ML Engineer,"Scikit-learn, Python, TensorFlow",2,Master's,AWS Certified,East Larry
Walter Jones,Data Engineer,"Hadoop, ETL, Python",14,Master's,Microsoft Azure,West Jenniferville
Lynn Cohen,Data Scientist,"Pandas, Machine Learning, R, Python",15,Bachelor's,Microsoft Azure,South Krystalmouth
Sarah Riley,ML Engineer,"Python, PyTorch, NLP",10,Bachelor's,Google Data Engineer,Kevinhaven
Lori Paul,AI Engineer,"AI Systems, Deep Learning, Machine Learning, TensorFlow, NLP, Python",14,PhD,Microsoft Azure,New Williamburgh
Lisa Hill,Data Scientist,"Machine Learning, Deep Learning, R, TensorFlow, Python, Pandas",8,Master's,AWS Certified,Gardnermouth
Becky Whitney,Data Engineer,"Hadoop, ETL, AWS",1,PhD,Microsoft Azure,Robertton
James Baldwin,AI Engineer,"Deep Learning, Machine Learning, AI Systems, NLP",7,Bachelor's,Google Data Engineer,Port Matthewborough
Drew Jackson,ML Engineer,"PyTorch, Scikit-learn, NLP, Keras, TensorFlow",5,PhD,None,Huangport
Lori Webb,AI Engineer,"Python, TensorFlow, Machine Learning, NLP",10,Master's,AWS Certified,Brownberg
Kaitlyn Branch,Data Analyst,"SQL, Python, Data Visualization, Tableau, Power BI",3,Master's,None,Traciehaven
Adrienne Weaver,Data Scientist,"Machine Learning, Python, R, Pandas",9,Bachelor's,Google Data Engineer,East Sharon
Maurice Carter,AI Engineer,"Deep Learning, Machine Learning, AI Systems, Python",4,Bachelor's,None,West Nancymouth
Joseph Miranda MD,Data Engineer,"Python, Hadoop, SQL",10,Master's,Google Data Engineer,Alvarezhaven
Kendra Johnston,Data Engineer,"AWS, ETL, Spark",5,PhD,None,Port Alexander
Paula Miller,ML Engineer,"NLP, PyTorch, Scikit-learn, TensorFlow",13,Bachelor's,Google Data Engineer,South Amber
Sharon Kim,AI Engineer,"Python, Deep Learning, TensorFlow, NLP, Machine Learning, AI Systems",1,PhD,Microsoft Azure,Hardychester
Jesse Alvarez,AI Engineer,"Deep Learning, NLP, TensorFlow, AI Systems, Machine Learning",2,PhD,AWS Certified,Charlesfurt
Katherine Murphy,AI Engineer,"AI Systems, Deep Learning, Python, TensorFlow, Machine Learning, NLP",12,Bachelor's,Microsoft Azure,Emilyville
Troy Johnson,Data Engineer,"Python, Hadoop, ETL, SQL, AWS",15,PhD,None,North Darlene
Maureen Bruce,ML Engineer,"Keras, Scikit-learn, Python, TensorFlow, NLP",2,Bachelor's,AWS Certified,East Sean
James Smith,Data Engineer,"SQL, ETL, Hadoop, Kafka, AWS",15,Bachelor's,Google Data Engineer,West Elizabethside
Michele Scott,AI Engineer,"NLP, Deep Learning, Machine Learning, Python, TensorFlow",11,Bachelor's,AWS Certified,Huntborough
Tyler Frank,Data Scientist,"Machine Learning, Python, Pandas, Deep Learning, TensorFlow, R",5,Bachelor's,Google Data Engineer,North Eric
Zachary Henry,Data Scientist,"R, Machine Learning, Python",14,Master's,Microsoft Azure,Bryanton
Zachary Smith,ML Engineer,"Keras, NLP, Python",7,Bachelor's,Google Data Engineer,South Micheal
Rachel Osborne,ML Engineer,"Keras, NLP, Scikit-learn, TensorFlow",6,PhD,AWS Certified,Michaelstad
Jason Walker,Data Analyst,"Power BI, SQL, Python, Tableau, Excel, Data Visualization",2,PhD,Google Data Engineer,Lake David
Cody Hensley,Data Scientist,"Deep Learning, Pandas, Python, R, TensorFlow",7,Master's,None,North Tonymouth
Paula Smith,Data Engineer,"Hadoop, Python, AWS, ETL, SQL, Spark",2,Bachelor's,None,Gomezfurt
Christina Wells,Data Analyst,"Data Visualization, Tableau, SQL, Excel, Power BI, Python",6,Bachelor's,Google Data Engineer,South Amberberg
Elizabeth Rivera,Data Analyst,"Tableau, Data Visualization, SQL, Excel",8,Bachelor's,Google Data Engineer,Fergusonville
Jennifer French,ML Engineer,"Keras, PyTorch, TensorFlow",12,Bachelor's,Google Data Engineer,Kingstad
Ms. Katherine Hunt,Data Analyst,"Data Visualization, Excel, Power BI",8,PhD,Microsoft Azure,Port Alexisville
William Chase,ML Engineer,"PyTorch, Python, Scikit-learn, NLP, TensorFlow, Keras",7,Master's,AWS Certified,Kimstad
Lisa West,Data Engineer,"Python, SQL, Kafka, Hadoop",3,Master's,AWS Certified,East Markmouth
Rebecca Tate,AI Engineer,"TensorFlow, Python, NLP, Deep Learning, Machine Learning, AI Systems",14,Bachelor's,Google Data Engineer,Blankenshipborough
Holly Harding,AI Engineer,"Machine Learning, Deep Learning, Python",7,Master's,Google Data Engineer,South Rayhaven
Elijah Gregory,Data Analyst,"Tableau, SQL, Python, Excel, Data Visualization, Power BI",3,Bachelor's,AWS Certified,East Jackmouth
Jacqueline Lyons,AI Engineer,"Machine Learning, AI Systems, TensorFlow, Python, Deep Learning, NLP",14,Master's,AWS Certified,New Kathrynfurt
Wendy George,Data Engineer,"ETL, AWS, Kafka",1,Bachelor's,Microsoft Azure,South Adam
Mark Williams,ML Engineer,"PyTorch, TensorFlow, Scikit-learn, Keras",13,Bachelor's,AWS Certified,New Kristie
Reginald Reed,AI Engineer,"Python, NLP, Deep Learning, AI Systems, Machine Learning",10,Master's,None,South Zachary
Miranda Vargas,Data Analyst,"SQL, Power BI, Excel",4,Bachelor's,AWS Certified,New Colleenville
George Brown,Data Analyst,"SQL, Excel, Data Visualization, Power BI, Python, Tableau",1,PhD,Microsoft Azure,Wolfstad
Jeffrey Gates,Data Scientist,"Pandas, Machine Learning, Deep Learning, Python, R, TensorFlow",8,Bachelor's,AWS Certified,Mezamouth
Gregg Farrell,Data Scientist,"Machine Learning, Pandas, R, Python",3,PhD,AWS Certified,West Deanna
Jermaine Reynolds,Data Engineer,"ETL, Kafka, Hadoop, Spark, AWS",8,PhD,None,East Sarah
Rhonda Holland,ML Engineer,"Python, TensorFlow, Scikit-learn, NLP, Keras",14,Master's,Microsoft Azure,South Tara
Raymond Bell,AI Engineer,"NLP, TensorFlow, Python",12,Bachelor's,AWS Certified,South Tammy
Sydney Moore,Data Analyst,"SQL, Data Visualization, Python, Excel",1,Master's,AWS Certified,New Margaret
Sheila Smith,Data Engineer,"ETL, Hadoop, Spark, Python, SQL",9,PhD,AWS Certified,South Chadburgh
William Powell,Data Analyst,"Python, Power BI, SQL, Excel",8,PhD,Microsoft Azure,Matthewville
William Baker,Data Analyst,"Power BI, Tableau, SQL, Python",8,Master's,Microsoft Azure,West Deanna
Donna Ellis,Data Analyst,"Data Visualization, Power BI, SQL, Tableau",7,Bachelor's,None,Lake Laura
William Porter,Data Scientist,"Python, TensorFlow, Pandas, Deep Learning, Machine Learning",6,PhD,None,Christinaborough
John Fuentes,Data Engineer,"Hadoop, SQL, ETL",4,Bachelor's,None,West Jamie
Brenda Ortiz,AI Engineer,"Machine Learning, Python, AI Systems, Deep Learning, NLP",5,PhD,AWS Certified,East Phyllischester
Aaron Farmer,ML Engineer,"Scikit-learn, PyTorch, Keras",1,Bachelor's,Microsoft Azure,East Shawnport
James Rangel,Data Scientist,"R, TensorFlow, Deep Learning, Python, Machine Learning, Pandas",7,Master's,Google Data Engineer,West Robert
Joseph Woods,AI Engineer,"Python, Machine Learning, Deep Learning, AI Systems, NLP",1,Bachelor's,Microsoft Azure,New Robin
David Smith,ML Engineer,"Python, Keras, NLP",2,PhD,None,Collinsmouth
Sierra Conrad,ML Engineer,"PyTorch, Python, Scikit-learn, NLP, TensorFlow",3,Bachelor's,None,East Jason
Justin Garcia,Data Analyst,"Python, Excel, Tableau, SQL",3,Master's,AWS Certified,South Luis
Joseph Smith,ML Engineer,"NLP, PyTorch, TensorFlow, Scikit-learn, Keras",15,PhD,Microsoft Azure,New Brian
Joel Duffy,ML Engineer,"Keras, PyTorch, Scikit-learn, NLP",4,Bachelor's,AWS Certified,West Michaelfort
Travis Scott,AI Engineer,"Machine Learning, Deep Learning, Python",4,Bachelor's,Microsoft Azure,Port Kimberlybury
Amanda Campbell,Data Engineer,"Kafka, ETL, Python, SQL",8,PhD,None,East Brittany
Bradley Gibson,AI Engineer,"AI Systems, Machine Learning, TensorFlow",15,PhD,None,Watsonbury
Mr. Lucas Cruz,ML Engineer,"Python, NLP, Scikit-learn, TensorFlow, PyTorch",2,Bachelor's,Microsoft Azure,Lake Sarahchester
Terri Greene,AI Engineer,"AI Systems, NLP, TensorFlow",2,Bachelor's,Microsoft Azure,Fischerborough
Erik Turner,Data Scientist,"R, Machine Learning, Python",5,Bachelor's,AWS Certified,Jeffreyhaven
Jack Olson,Data Engineer,"Kafka, ETL, AWS, SQL, Spark, Python",13,PhD,None,West Gregoryhaven
Todd Fisher,ML Engineer,"NLP, Keras, PyTorch, Scikit-learn, TensorFlow",4,PhD,None,Mendozamouth
Samuel Lopez,Data Scientist,"Machine Learning, R, TensorFlow, Pandas",12,Bachelor's,Google Data Engineer,Westton
Jose Sullivan,Data Analyst,"Excel, Data Visualization, Python, Power BI, SQL",13,Master's,Google Data Engineer,Graymouth
Tamara Butler,Data Scientist,"Deep Learning, Pandas, Python",7,PhD,Microsoft Azure,Lake Jamiechester
Nicole Wright,Data Engineer,"Hadoop, SQL, Spark, Kafka",13,PhD,AWS Certified,South Ronaldshire
Kelsey Mcgee,Data Analyst,"SQL, Tableau, Excel, Data Visualization, Python, Power BI",1,Master's,Google Data Engineer,Lake Annetteburgh
Brian Cooper,AI Engineer,"TensorFlow, Deep Learning, NLP",10,Master's,None,New Anntown
Edward Webb,Data Analyst,"SQL, Data Visualization, Tableau, Excel, Power BI, Python",1,PhD,Google Data Engineer,Petersfort
Richard Thompson,Data Analyst,"Excel, Power BI, SQL",9,Master's,None,New Douglas
Samuel Tran,Data Analyst,"Excel, Python, Tableau, Data Visualization, Power BI",1,Bachelor's,AWS Certified,Port Alicia
Daniel Johnson,Data Engineer,"Spark, Hadoop, AWS, ETL, SQL, Python",15,Bachelor's,Microsoft Azure,Cynthiaburgh
Kristy Page,AI Engineer,"AI Systems, Deep Learning, TensorFlow, Python",10,Master's,AWS Certified,Martinland
Johnny Williams,Data Engineer,"Spark, Python, Hadoop, Kafka",7,Bachelor's,Google Data Engineer,Barnettfort
Michael Allen,Data Engineer,"Hadoop, Kafka, Spark, Python, SQL",6,Master's,Microsoft Azure,Lake Jenniferbury
Michael Jackson,ML Engineer,"TensorFlow, PyTorch, Python, Keras, Scikit-learn",11,Bachelor's,Google Data Engineer,East Erinview
Dr. John Mitchell,AI Engineer,"Machine Learning, AI Systems, Python, Deep Learning, NLP, TensorFlow",12,Bachelor's,Google Data Engineer,East Mark
Kayla Franco,Data Scientist,"R, Pandas, Python",15,Bachelor's,AWS Certified,New Richardton
Ryan Davis,Data Analyst,"Data Visualization, Python, Tableau",4,PhD,None,Torresville
Joshua Lester,AI Engineer,"Machine Learning, NLP, Deep Learning, AI Systems",14,PhD,None,Westfort
Robin Walker,Data Analyst,"Data Visualization, Power BI, Tableau, Excel, SQL",15,PhD,Microsoft Azure,South Timothy
Ian Anderson,AI Engineer,"AI Systems, NLP, Machine Learning, Deep Learning, Python, TensorFlow",5,Bachelor's,AWS Certified,West Seth
Caitlyn Rasmussen,Data Scientist,"Machine Learning, Pandas, Deep Learning, TensorFlow",10,PhD,Microsoft Azure,East Bettyfurt
Sherri Walker,Data Engineer,"Kafka, SQL, Python, Hadoop",1,Bachelor's,Microsoft Azure,Youngland
Michelle Martin,Data Analyst,"Tableau, Power BI, Excel, SQL",4,PhD,AWS Certified,Robinsonton
Thomas Cole,AI Engineer,"Machine Learning, AI Systems, NLP, Python, TensorFlow",4,Bachelor's,Google Data Engineer,West John
Michael Spence,Data Scientist,"Deep Learning, Pandas, TensorFlow, Python, R, Machine Learning",2,Bachelor's,Google Data Engineer,Mitchellmouth
Kristen Collins,Data Scientist,"TensorFlow, Python, Deep Learning, R, Machine Learning, Pandas",14,Bachelor's,None,South Patrick
Donna Patel,Data Analyst,"Power BI, SQL, Python, Excel, Tableau",13,PhD,AWS Certified,Taylorstad
Kevin Nichols,Data Scientist,"R, Pandas, Python, Machine Learning, TensorFlow",5,Bachelor's,Google Data Engineer,Millerton
April Lewis DDS,Data Scientist,"Machine Learning, R, TensorFlow, Deep Learning, Pandas",15,PhD,Google Data Engineer,Lake Kimberly
Lisa Nixon,ML Engineer,"TensorFlow, PyTorch, Keras, Scikit-learn",14,Bachelor's,AWS Certified,Bonniehaven
Tara Carter PhD,Data Scientist,"Machine Learning, R, Python, Deep Learning, TensorFlow",13,PhD,None,Lake James
Allen Cole,AI Engineer,"Machine Learning, NLP, Python, Deep Learning",2,Bachelor's,Google Data Engineer,Lake Nicholas
Zachary Lucero,AI Engineer,"Deep Learning, Python, TensorFlow, Machine Learning, AI Systems",6,PhD,Google Data Engineer,Port Randyville
Jeffrey Mendez,Data Analyst,"Power BI, Excel, Data Visualization, Python, Tableau, SQL",5,Master's,None,Englishborough
Carolyn Thompson,Data Scientist,"R, Deep Learning, TensorFlow",6,PhD,AWS Certified,Port Alexander
Monica Carey,Data Scientist,"Machine Learning, TensorFlow, Deep Learning, Pandas",1,Bachelor's,AWS Certified,Philiphaven
Patricia Brown,ML Engineer,"NLP, Scikit-learn, Python, TensorFlow, Keras",4,Master's,Google Data Engineer,Martinezmouth
Jason Farmer,Data Scientist,"TensorFlow, Python, R, Pandas",2,Bachelor's,Microsoft Azure,Moraleschester
Melissa Mcbride,Data Scientist,"Machine Learning, Python, TensorFlow",10,Bachelor's,AWS Certified,Roberthaven
Hector Harrison,ML Engineer,"Python, NLP, TensorFlow, Keras",12,Bachelor's,Microsoft Azure,West John
Dennis Martinez,ML Engineer,"Keras, PyTorch, Python, Scikit-learn, TensorFlow, NLP",13,PhD,Google Data Engineer,Brianchester
Raymond Lee,AI Engineer,"NLP, TensorFlow, Python, Machine Learning, AI Systems, Deep Learning",7,Master's,Google Data Engineer,Lake Stacyside
Kathleen Fuller,Data Analyst,"Data Visualization, SQL, Tableau",10,PhD,Microsoft Azure,South Barbaratown
Karen Barnes PhD,Data Scientist,"TensorFlow, Python, R, Deep Learning, Machine Learning, Pandas",6,PhD,Google Data Engineer,Lake Christina
Shannon West,Data Scientist,"Machine Learning, R, Deep Learning, TensorFlow, Python, Pandas",13,Master's,None,Briannafurt
Jeremy Wood,Data Engineer,"AWS, Kafka, Spark, Hadoop",7,Master's,Google Data Engineer,Lake Jamesstad
Andrea Rivas,AI Engineer,"AI Systems, TensorFlow, Python",5,Bachelor's,Microsoft Azure,Michellebury
Dr. Robert Carter,Data Engineer,"Kafka, SQL, Python",5,Master's,None,Hendersonland
Kathleen Morales,ML Engineer,"PyTorch, NLP, TensorFlow, Keras, Python, Scikit-learn",4,Bachelor's,None,Victoriabury
Raymond Brown,Data Scientist,"Pandas, Machine Learning, Deep Learning, TensorFlow",13,Bachelor's,None,Port Kaylaport
Jason Buchanan,AI Engineer,"Python, AI Systems, Machine Learning, NLP, Deep Learning",14,Bachelor's,Microsoft Azure,Davidchester
Victoria Delgado,Data Scientist,"Machine Learning, R, Python, Deep Learning",12,Bachelor's,AWS Certified,North Randymouth
Tiffany Scott,ML Engineer,"PyTorch, Python, TensorFlow, Keras",12,Master's,Google Data Engineer,East Patriciahaven
Kendra Soto,AI Engineer,"AI Systems, Deep Learning, Machine Learning",9,Bachelor's,AWS Certified,Michaelstad
